10721;519;Пюре из кабачков и цветной капусты 100гр 1/6 с 4 мес стекл  Бабушкино Лукошко;65.0
4734;519;Пюре из капусты брокколи и кабачков 100гр 1/6 стекл  Бабушкино Лукошко;65.0
1754;519;Пюре из яблок малины и вишни 100гр 1/6  Бабушкино Лукошко;54.0
1753;519;Пюре из яблок груш и персиков 100гр 1/6  Бабушкино Лукошко;68.0
1556;519;Пюре из яблок и груш мяг.уп. 90гр 1/12 с 4мес мяг уп Бабушкино Лукошко;68.0
1234;519;Пюре из яблок и черной смородины 100гр 1/6 с 6мес стекл  Бабушкино Лукошко;67.0
515;519;Пюре из яблок и черники мяг.уп. 90гр 1/12 с 5мес мяг уп Бабушкино Лукошко;68.0
491;519;Пюре из яблок и черники 100гр 1/6  Бабушкино Лукошко;68.0
490;519;Пюре из яблок и чернослива 100гр 1/6  Бабушкино Лукошко;68.0
489;519;Пюре из яблок и абрикосов 100гр 1/6  Бабушкино Лукошко;68.0
470;519;Пюре из яблок груш и персиков мягкая уп.90гр 1/12 с 5 ти мес. Бабушкино Лукошко;81.0
461;519;Пюре из яблок малины и вишни мягкая уп.90гр 1/12 с 6ти мес. Бабушкино Лукошко;81.0
402;519;Пюре из груш и яблок 100гр 1/6 с 5 мес стекл  Бабушкино Лукошко;58.0
399;519;Пюре из тыквы и яблок 100гр 1/6 с 5мес стекл  Бабушкино Лукошко;58.0
396;519;Пюре из моркови и яблок 100гр 1/6 с 5мес стекл Бабушкино Лукошко;57.0
393;519;Пюре из кабачков и яблок 100гр 1/6 с 5 мес стекл  Бабушкино Лукошко;49.0
